  A_v     r (AU)
0.000  1.2000e+04 
0.000  1.1900e+04 
0.000  1.1800e+04 
0.000  1.1700e+04 
0.000  1.1600e+04 
0.000  1.1500e+04 
0.000  1.1400e+04 
0.000  1.1300e+04 
0.000  1.1200e+04 
0.000  1.1100e+04 
0.000  1.1000e+04 
0.000  1.0900e+04 
0.000  1.0800e+04 
0.000  1.0700e+04 
0.000  1.0600e+04 
0.000  1.0500e+04 
0.000  1.0400e+04 
0.000  1.0300e+04 
0.000  1.0200e+04 
0.000  1.0100e+04 
0.000  1.0000e+04 
0.000  9.9010e+03 
0.000  9.8020e+03 
0.000  9.7030e+03 
0.000  9.6040e+03 
0.000  9.5050e+03 
0.000  9.4060e+03 
0.000  9.3070e+03 
0.000  9.2080e+03 
0.000  9.1090e+03 
0.000  9.0100e+03 
0.000  8.9110e+03 
0.000  8.8120e+03 
0.000  8.7130e+03 
0.000  8.6140e+03 
0.000  8.5150e+03 
0.000  8.4160e+03 
0.000  8.3170e+03 
0.000  8.2180e+03 
0.000  8.1190e+03 
0.000  8.0200e+03 
0.000  7.9210e+03 
0.000  7.8220e+03 
0.000  7.7230e+03 
0.000  7.6240e+03 
0.000  7.5250e+03 
0.000  7.4260e+03 
0.000  7.3270e+03 
0.000  7.2280e+03 
0.000  7.1290e+03 
0.000  7.0300e+03 
0.000  6.9310e+03 
0.000  6.8320e+03 
0.000  6.7330e+03 
0.000  6.6340e+03 
0.000  6.5350e+03 
0.000  6.4360e+03 
0.000  6.3370e+03 
0.000  6.2380e+03 
0.000  6.1390e+03 
0.000  6.0400e+03 
0.000  5.9410e+03 
0.000  5.8420e+03 
0.000  5.7430e+03 
0.000  5.6440e+03 
0.000  5.5450e+03 
0.000  5.4460e+03 
0.000  5.3470e+03 
0.000  5.2480e+03 
0.000  5.1490e+03 
0.000  5.0500e+03 
0.000  4.9510e+03 
0.000  4.8520e+03 
0.000  4.7530e+03 
0.000  4.6540e+03 
0.000  4.5550e+03 
0.000  4.4560e+03 
0.000  4.3570e+03 
0.000  4.2580e+03 
0.000  4.1590e+03 
0.000  4.0600e+03 
0.000  3.9610e+03 
0.000  3.8620e+03 
0.000  3.7630e+03 
0.000  3.6640e+03 
0.000  3.5650e+03 
0.000  3.4660e+03 
0.000  3.3670e+03 
0.000  3.2680e+03 
0.000  3.1690e+03 
0.000  3.0700e+03 
0.000  2.9710e+03 
0.000  2.8720e+03 
0.000  2.7730e+03 
0.000  2.6740e+03 
0.000  2.5750e+03 
0.000  2.4760e+03 
0.000  2.3770e+03 
0.000  2.2780e+03 
0.000  2.1790e+03 
0.000  2.0800e+03 
0.000  1.9810e+03 
0.000  1.8820e+03 
0.000  1.7830e+03 
0.000  1.6840e+03 
0.000  1.5850e+03 
0.000  1.4860e+03 
0.000  1.3870e+03 
0.000  1.2880e+03 
0.000  1.1890e+03 
0.000  1.0900e+03 
0.000  9.9100e+02 
0.000  8.9200e+02 
0.000  7.9300e+02 
0.000  6.9400e+02 
0.000  5.9500e+02 
0.000  4.9600e+02 
0.000  3.9700e+02 
0.000  2.9800e+02 
0.000  1.9900e+02 
0.000  1.0000e+02 
0.000  0.0000e+00 
0.000  0.0000e+00 
