@                   x                         y                        z            nabs nscat    abslum      temp    dens        mass       cell_tau  next_n
  0.00000000000000000000e+00  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  0.0000e+00  0.0000e+00  0.0000e+00    0
  1.49600000000000000000e+15  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  3.8098e-16  1.0910e+30  0.0000e+00    0
  2.97704000000000000000e+15  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  3.7013e-16  2.8377e+30  0.0000e+00    0
  4.45808000000000000000e+15  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  3.5341e-16  5.2251e+30  0.0000e+00    0
  5.93912000000000000000e+15  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  3.3240e-16  8.0426e+30  0.0000e+00    0
  7.42016000000000000000e+15  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  3.0882e-16  1.1085e+31  0.0000e+00    0
  8.90120000000000000000e+15  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  2.8418e-16  1.4180e+31  0.0000e+00    0
  1.03822400000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  2.5971e-16  1.7198e+31  0.0000e+00    0
  1.18632800000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  2.3623e-16  2.0054e+31  0.0000e+00    0
  1.33443200000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  2.1429e-16  2.2700e+31  0.0000e+00    0
  1.48253600000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.9413e-16  2.5113e+31  0.0000e+00    0
  1.63064000000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.7586e-16  2.7293e+31  0.0000e+00    0
  1.77874400000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.5942e-16  2.9247e+31  0.0000e+00    0
  1.92684800000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.4472e-16  3.0992e+31  0.0000e+00    0
  2.07495200000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.3161e-16  3.2546e+31  0.0000e+00    0
  2.22305600000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.1994e-16  3.3929e+31  0.0000e+00    0
  2.37116000000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.0956e-16  3.5160e+31  0.0000e+00    0
  2.51926400000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.0031e-16  3.6257e+31  0.0000e+00    0
  2.66736800000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  9.2075e-17  3.7235e+31  0.0000e+00    0
  2.81547200000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  8.4720e-17  3.8109e+31  0.0000e+00    0
  2.96357600000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  7.8140e-17  3.8891e+31  0.0000e+00    0
  3.11168000000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  7.2242e-17  3.9594e+31  0.0000e+00    0
  3.25978400000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  6.6943e-17  4.0226e+31  0.0000e+00    0
  3.40788800000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  6.2170e-17  4.0795e+31  0.0000e+00    0
  3.55599200000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  5.7862e-17  4.1310e+31  0.0000e+00    0
  3.70409600000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  5.3963e-17  4.1777e+31  0.0000e+00    0
  3.85220000000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  5.0427e-17  4.2200e+31  0.0000e+00    0
  4.00030400000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  4.7212e-17  4.2586e+31  0.0000e+00    0
  4.14840800000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  4.4282e-17  4.2937e+31  0.0000e+00    0
  4.29651200000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  4.1606e-17  4.3259e+31  0.0000e+00    0
  4.44461600000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  3.9157e-17  4.3554e+31  0.0000e+00    0
  4.59272000000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  3.6911e-17  4.3824e+31  0.0000e+00    0
