@    x                 y               z           nabs nscat  abslum      temp    dens       mass       cell_tau  next_n
  0.0000000e+00  0.0000000e+00  0.0000000e+00    0    0  0.0000e+00   0.00  0.0000e+00  0.0000e+00  0.0000e+00     0
  1.4960000e+15  0.0000000e+00  0.0000000e+00    0    0  0.0000e+00   0.00  3.8098e-16  1.0910e+30  0.0000e+00     0
  2.9770400e+15  0.0000000e+00  0.0000000e+00    0    0  0.0000e+00   0.00  3.7013e-16  2.8377e+30  0.0000e+00     0
  4.4580800e+15  0.0000000e+00  0.0000000e+00    0    0  0.0000e+00   0.00  3.5341e-16  5.2251e+30  0.0000e+00     0
  5.9391200e+15  0.0000000e+00  0.0000000e+00    0    0  0.0000e+00   0.00  3.3240e-16  8.0426e+30  0.0000e+00     0
  7.4201600e+15  0.0000000e+00  0.0000000e+00    0    0  0.0000e+00   0.00  3.0882e-16  1.1085e+31  0.0000e+00     0
  8.9012000e+15  0.0000000e+00  0.0000000e+00    0    0  0.0000e+00   0.00  2.8418e-16  1.4180e+31  0.0000e+00     0
  1.0382240e+16  0.0000000e+00  0.0000000e+00    0    0  0.0000e+00   0.00  2.5971e-16  1.7198e+31  0.0000e+00     0
  1.1863280e+16  0.0000000e+00  0.0000000e+00    0    0  0.0000e+00   0.00  2.3623e-16  2.0054e+31  0.0000e+00     0
  1.3344320e+16  0.0000000e+00  0.0000000e+00    0    0  0.0000e+00   0.00  2.1429e-16  2.2700e+31  0.0000e+00     0
  1.4825360e+16  0.0000000e+00  0.0000000e+00    0    0  0.0000e+00   0.00  1.9413e-16  2.5113e+31  0.0000e+00     0
  1.6306400e+16  0.0000000e+00  0.0000000e+00    1    0  1.7893e+30   8.00  1.7586e-16  2.7293e+31  0.0000e+00     1
  1.7787440e+16  0.0000000e+00  0.0000000e+00    0    0  0.0000e+00   0.00  1.5942e-16  2.9247e+31  0.0000e+00     0
  1.9268480e+16  0.0000000e+00  0.0000000e+00    0    0  0.0000e+00   0.00  1.4472e-16  3.0992e+31  0.0000e+00     0
  2.0749520e+16  0.0000000e+00  0.0000000e+00    1    0  1.7893e+30   7.80  1.3161e-16  3.2546e+31  0.0000e+00     1
  2.2230560e+16  0.0000000e+00  0.0000000e+00    0    0  0.0000e+00   0.00  1.1994e-16  3.3929e+31  0.0000e+00     0
  2.3711600e+16  0.0000000e+00  0.0000000e+00    1    0  1.7893e+30   7.70  1.0956e-16  3.5160e+31  0.0000e+00     1
  2.5192640e+16  0.0000000e+00  0.0000000e+00    2    0  3.5785e+30   8.60  1.0031e-16  3.6257e+31  0.0000e+00     2
  2.6673680e+16  0.0000000e+00  0.0000000e+00    0    0  0.0000e+00   0.00  9.2075e-17  3.7235e+31  0.0000e+00     0
  2.8154720e+16  0.0000000e+00  0.0000000e+00    2    0  3.5785e+30   8.50  8.4720e-17  3.8109e+31  0.0000e+00     2
  2.9635760e+16  0.0000000e+00  0.0000000e+00    0    0  0.0000e+00   0.00  7.8140e-17  3.8891e+31  0.0000e+00     0
  3.1116800e+16  0.0000000e+00  0.0000000e+00    0    0  0.0000e+00   0.00  7.2242e-17  3.9594e+31  0.0000e+00     0
  3.2597840e+16  0.0000000e+00  0.0000000e+00    0    0  0.0000e+00   0.00  6.6943e-17  4.0226e+31  0.0000e+00     0
  3.4078880e+16  0.0000000e+00  0.0000000e+00    0    0  0.0000e+00   0.00  6.2170e-17  4.0795e+31  0.0000e+00     0
  3.5559920e+16  0.0000000e+00  0.0000000e+00    2    0  3.5785e+30   8.40  5.7862e-17  4.1310e+31  0.0000e+00     2
  3.7040960e+16  0.0000000e+00  0.0000000e+00    0    0  0.0000e+00   0.00  5.3963e-17  4.1777e+31  0.0000e+00     0
  3.8522000e+16  0.0000000e+00  0.0000000e+00    2    0  3.5785e+30   8.40  5.0427e-17  4.2200e+31  0.0000e+00     2
  4.0003040e+16  0.0000000e+00  0.0000000e+00    0    0  0.0000e+00   0.00  4.7212e-17  4.2586e+31  0.0000e+00     0
  4.1484080e+16  0.0000000e+00  0.0000000e+00    2    0  3.5785e+30   8.30  4.4282e-17  4.2937e+31  0.0000e+00     2
  4.2965120e+16  0.0000000e+00  0.0000000e+00    3    0  5.3678e+30   8.90  4.1606e-17  4.3259e+31  0.0000e+00     3
  4.4446160e+16  0.0000000e+00  0.0000000e+00    1    0  1.7893e+30   7.40  3.9157e-17  4.3554e+31  0.0000e+00     1
  4.5927200e+16  0.0000000e+00  0.0000000e+00    3    0  5.3678e+30   8.90  3.6911e-17  4.3824e+31  0.0000e+00     3
  4.7408240e+16  0.0000000e+00  0.0000000e+00    0    0  0.0000e+00   0.00  3.4846e-17  4.4073e+31  0.0000e+00     0
  4.8889280e+16  0.0000000e+00  0.0000000e+00    3    0  5.3678e+30   8.90  3.2945e-17  4.4302e+31  0.0000e+00     3
  5.0370320e+16  0.0000000e+00  0.0000000e+00    1    0  1.7893e+30   7.40  3.1191e-17  4.4514e+31  0.0000e+00     1
  5.1851360e+16  0.0000000e+00  0.0000000e+00    4    0  7.1571e+30   9.30  2.9569e-17  4.4710e+31  0.0000e+00     4
  5.3332400e+16  0.0000000e+00  0.0000000e+00    3    0  5.3678e+30   8.90  2.8068e-17  4.4892e+31  0.0000e+00     3
  5.4813440e+16  0.0000000e+00  0.0000000e+00    0    0  0.0000e+00   0.00  2.6675e-17  4.5060e+31  0.0000e+00     0
  5.6294480e+16  0.0000000e+00  0.0000000e+00    0    0  0.0000e+00   0.00  2.5382e-17  4.5217e+31  0.0000e+00     0
  5.7775520e+16  0.0000000e+00  0.0000000e+00    1    0  1.7893e+30   7.30  2.4178e-17  4.5363e+31  0.0000e+00     1
  5.9256560e+16  0.0000000e+00  0.0000000e+00    1    0  1.7893e+30   7.30  2.3056e-17  4.5499e+31  0.0000e+00     1
  6.0737600e+16  0.0000000e+00  0.0000000e+00    4    0  7.1571e+30   9.30  2.2009e-17  4.5627e+31  0.0000e+00     4
  6.2218640e+16  0.0000000e+00  0.0000000e+00    3    0  5.3678e+30   8.80  2.1030e-17  4.5745e+31  0.0000e+00     3
  6.3699680e+16  0.0000000e+00  0.0000000e+00    6    0  1.0736e+31  10.00  2.0114e-17  4.5857e+31  0.0000e+00     6
  6.5180720e+16  0.0000000e+00  0.0000000e+00    2    0  3.5785e+30   8.20  1.9255e-17  4.5961e+31  0.0000e+00     2
  6.6661760e+16  0.0000000e+00  0.0000000e+00    5    0  8.9464e+30   9.60  1.8450e-17  4.6059e+31  0.0000e+00     5
  6.8142800e+16  0.0000000e+00  0.0000000e+00    1    0  1.7893e+30   7.30  1.7693e-17  4.6152e+31  0.0000e+00     1
  6.9623840e+16  0.0000000e+00  0.0000000e+00    0    0  0.0000e+00   0.00  1.6981e-17  4.6238e+31  0.0000e+00     0
  7.1104880e+16  0.0000000e+00  0.0000000e+00    5    0  8.9464e+30   9.60  1.6311e-17  4.6320e+31  0.0000e+00     5
  7.2585920e+16  0.0000000e+00  0.0000000e+00    3    0  5.3678e+30   8.80  1.5679e-17  4.6397e+31  0.0000e+00     3
  7.4066960e+16  0.0000000e+00  0.0000000e+00    3    0  5.3678e+30   8.80  1.5082e-17  4.6470e+31  0.0000e+00     3
  7.5548000e+16  0.0000000e+00  0.0000000e+00    6    0  1.0736e+31   9.90  1.4519e-17  4.6539e+31  0.0000e+00     6
  7.7029040e+16  0.0000000e+00  0.0000000e+00    3    0  5.3678e+30   8.80  1.3986e-17  4.6604e+31  0.0000e+00     3
  7.8510080e+16  0.0000000e+00  0.0000000e+00    2    0  3.5785e+30   8.20  1.3482e-17  4.6666e+31  0.0000e+00     2
  7.9991120e+16  0.0000000e+00  0.0000000e+00    4    0  7.1571e+30   9.30  1.3004e-17  4.6724e+31  0.0000e+00     4
  8.1472160e+16  0.0000000e+00  0.0000000e+00    6    0  1.0736e+31   9.90  1.2551e-17  4.6780e+31  0.0000e+00     6
  8.2953200e+16  0.0000000e+00  0.0000000e+00    9    0  1.6103e+31  10.70  1.2121e-17  4.6832e+31  0.0000e+00    10
  8.4434240e+16  0.0000000e+00  0.0000000e+00    3    0  5.3678e+30   8.80  1.1712e-17  4.6882e+31  0.0000e+00     3
  8.5915280e+16  0.0000000e+00  0.0000000e+00    3    0  5.3678e+30   8.80  1.1323e-17  4.6930e+31  0.0000e+00     3
  8.7396320e+16  0.0000000e+00  0.0000000e+00    2    0  3.5785e+30   8.20  1.0954e-17  4.6975e+31  0.0000e+00     2
  8.8877360e+16  0.0000000e+00  0.0000000e+00    5    0  8.9464e+30   9.60  1.0602e-17  4.7018e+31  0.0000e+00     5
  9.0358400e+16  0.0000000e+00  0.0000000e+00    1    0  1.7893e+30   7.30  1.0266e-17  4.7059e+31  0.0000e+00     1
  9.1839440e+16  0.0000000e+00  0.0000000e+00    5    0  8.9464e+30   9.60  9.9462e-18  4.7099e+31  0.0000e+00     5
  9.3320480e+16  0.0000000e+00  0.0000000e+00    5    0  8.9464e+30   9.60  9.6408e-18  4.7136e+31  0.0000e+00     5
  9.4801520e+16  0.0000000e+00  0.0000000e+00    6    0  1.0736e+31   9.90  9.3492e-18  4.7172e+31  0.0000e+00     6
  9.6282560e+16  0.0000000e+00  0.0000000e+00    4    0  7.1571e+30   9.20  9.0705e-18  4.7206e+31  0.0000e+00     4
  9.7763600e+16  0.0000000e+00  0.0000000e+00    4    0  7.1571e+30   9.20  8.8040e-18  4.7239e+31  0.0000e+00     4
  9.9244640e+16  0.0000000e+00  0.0000000e+00    3    0  5.3678e+30   8.80  8.5490e-18  4.7270e+31  0.0000e+00     3
  1.0072568e+17  0.0000000e+00  0.0000000e+00    4    0  7.1571e+30   9.20  8.3048e-18  4.7300e+31  0.0000e+00     4
  1.0220672e+17  0.0000000e+00  0.0000000e+00    5    0  8.9464e+30   9.60  8.0709e-18  4.7329e+31  0.0000e+00     5
