@                   x                         y                        z            nabs nscat    abslum      temp    dens        mass       cell_tau  next_n
  0.00000000000000000000e+00  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  0.0000e+00  0.0000e+00  0.0000e+00    0
  2.60304000000000000000e+15  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  2.1878e-18  4.0702e+30  0.0000e+00    0
  7.75705920000000000000e+15  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  2.1457e-18  1.4842e+31  0.0000e+00    0
  1.29110784000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  2.0662e-18  3.1484e+31  0.0000e+00    0
  1.80650976000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.9576e-18  5.2413e+31  0.0000e+00    0
  2.32191168000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.8294e-18  7.5938e+31  0.0000e+00    0
  2.83731360000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6910e-18  1.0053e+32  0.0000e+00    0
  3.35271552000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.5503e-18  1.2499e+32  0.0000e+00    0
  3.86811744000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.4132e-18  1.4846e+32  0.0000e+00    0
  4.38351936000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.2834e-18  1.7042e+32  0.0000e+00    0
  4.89892128000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.1633e-18  1.9059e+32  0.0000e+00    0
  5.41432320000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.0537e-18  2.0889e+32  0.0000e+00    0
  5.92972512000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  9.5472e-19  2.2535e+32  0.0000e+00    0
  6.44512704000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  8.6601e-19  2.4008e+32  0.0000e+00    0
  6.96052896000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  7.8682e-19  2.5321e+32  0.0000e+00    0
  7.47593088000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  7.1628e-19  2.6490e+32  0.0000e+00    0
  7.99133280000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  6.5350e-19  2.7530e+32  0.0000e+00    0
  8.50673472000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  5.9764e-19  2.8456e+32  0.0000e+00    0
  9.02213664000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  5.4788e-19  2.9281e+32  0.0000e+00    0
  9.53753856000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  5.0349e-19  3.0018e+32  0.0000e+00    0
  1.00529404800000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  4.6382e-19  3.0677e+32  0.0000e+00    0
  1.05683424000000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  4.2830e-19  3.1268e+32  0.0000e+00    0
  1.10837443200000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  3.9643e-19  3.1798e+32  0.0000e+00    0
  1.15991462400000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  3.6776e-19  3.2276e+32  0.0000e+00    0
