@ DOWN TO LYMAN CONTINUUM 
@Carbonaceous - Silicate Model for Interstellar Dust with R_V=3.1
@Tabulated quantities:
@lambda  = wavelength in vacuo (micron)
@albedo  = (scattering cross section)/(extinction cross section)
@<cos>   = <cos(theta)> for scattered light
@C_ext/H = extinction cross section per H nucleon (cm^2/H)
@K_abs   = absorption cross section per mass of dust (cm^2/gram)
@<cos^2> = <cos^(theta)> for scattered light
@
@1.870E-26 = M_dust per H nucleon (gram/H) for this dust model
@1.236E+02 = M_gas/M_dust for this dust model (assuming He/H=0.096)
@
@  lambda    albedo   <cos>  C_ext/H    K_abs   <cos^2>
@ (micron)                   (cm^2/H)  (cm^2/g)          comment
@----------- ------  ------ --------- --------- ------- --------
1.00000E+04 0.0000  0.0000 1.225E-28 6.553E-03 0.66939
9.77237E+03 0.0000  0.0000 1.274E-28 6.815E-03 0.66939
9.54993E+03 0.0000  0.0000 1.325E-28 7.086E-03 0.66939
9.33254E+03 0.0000  0.0000 1.377E-28 7.368E-03 0.66939
9.12011E+03 0.0000  0.0000 1.432E-28 7.660E-03 0.61160
8.91251E+03 0.0000  0.0000 1.488E-28 7.961E-03 0.40000
8.70964E+03 0.0000  0.0000 1.547E-28 8.273E-03 0.40000
8.51138E+03 0.0000  0.0000 1.607E-28 8.596E-03 0.40000
8.31764E+03 0.0000  0.0000 1.670E-28 8.933E-03 0.40000
8.12831E+03 0.0000  0.0000 1.735E-28 9.282E-03 0.40000
7.94328E+03 0.0000  0.0000 1.803E-28 9.645E-03 0.40000
7.76247E+03 0.0000  0.0000 1.874E-28 1.002E-02 0.40000
7.58578E+03 0.0000  0.0000 1.947E-28 1.041E-02 0.40000
7.41310E+03 0.0000  0.0000 2.023E-28 1.082E-02 0.40000
7.24436E+03 0.0000  0.0000 2.102E-28 1.124E-02 0.40000
7.07946E+03 0.0000  0.0000 2.184E-28 1.168E-02 0.40000
6.91831E+03 0.0000  0.0000 2.269E-28 1.214E-02 0.40000
6.76083E+03 0.0000  0.0000 2.358E-28 1.261E-02 0.40000
6.60693E+03 0.0000  0.0000 2.450E-28 1.311E-02 0.40000
6.45654E+03 0.0000  0.0000 2.546E-28 1.362E-02 0.40000
6.30957E+03 0.0000  0.0000 2.646E-28 1.415E-02 0.40000
6.16595E+03 0.0000  0.0000 2.749E-28 1.470E-02 0.40000
6.02560E+03 0.0000  0.0000 2.856E-28 1.528E-02 0.40000
5.88844E+03 0.0000  0.0000 2.968E-28 1.587E-02 0.40000
5.75440E+03 0.0000  0.0000 3.084E-28 1.649E-02 0.40000
5.62341E+03 0.0000  0.0000 3.204E-28 1.714E-02 0.40000
5.49541E+03 0.0000  0.0000 3.329E-28 1.781E-02 0.40000
5.37032E+03 0.0000  0.0000 3.460E-28 1.850E-02 0.40000
5.24807E+03 0.0000  0.0000 3.595E-28 1.923E-02 0.40000
5.12861E+03 0.0000  0.0000 3.735E-28 1.998E-02 0.40000
5.01187E+03 0.0000  0.0000 3.881E-28 2.076E-02 0.40000
4.89779E+03 0.0000  0.0000 4.033E-28 2.157E-02 0.40000
 4.78630E+03 0.0000  0.0000 4.190E-28 2.241E-02 0.40000
4.67735E+03 0.0000 -0.0001 4.354E-28 2.329E-02 0.40000
4.57088E+03 0.0000 -0.0001 4.524E-28 2.420E-02 0.40000
4.46684E+03 0.0000 -0.0001 4.700E-28 2.514E-02 0.40000
4.36516E+03 0.0000 -0.0001 4.884E-28 2.612E-02 0.40000
4.26580E+03 0.0000 -0.0001 5.075E-28 2.714E-02 0.40000
4.16869E+03 0.0000 -0.0002 5.273E-28 2.820E-02 0.40000
4.07380E+03 0.0000 -0.0002 5.479E-28 2.931E-02 0.40000
3.98107E+03 0.0000 -0.0002 5.693E-28 3.045E-02 0.40000
3.89045E+03 0.0000 -0.0003 5.914E-28 3.163E-02 0.40000
3.80189E+03 0.0000 -0.0003 6.144E-28 3.287E-02 0.40000
3.71535E+03 0.0000 -0.0004 6.384E-28 3.414E-02 0.40000
3.63078E+03 0.0000 -0.0005 6.632E-28 3.547E-02 0.40000
3.54813E+03 0.0000 -0.0006 6.890E-28 3.685E-02 0.40000
3.46737E+03 0.0000 -0.0006 7.159E-28 3.829E-02 0.40000
3.38844E+03 0.0000 -0.0007 7.437E-28 3.978E-02 0.40000
3.31131E+03 0.0000 -0.0008 7.727E-28 4.133E-02 0.40000
3.23594E+03 0.0000 -0.0008 8.027E-28 4.294E-02 0.40000
3.16228E+03 0.0000 -0.0009 8.339E-28 4.461E-02 0.40000
3.09030E+03 0.0000 -0.0010 8.663E-28 4.634E-02 0.40000
3.01995E+03 0.0000 -0.0011 9.000E-28 4.814E-02 0.40000
2.95121E+03 0.0000 -0.0012 9.349E-28 5.001E-02 0.40000
2.88403E+03 0.0000 -0.0013 9.712E-28 5.195E-02 0.40000
2.81838E+03 0.0000 -0.0013 1.009E-27 5.396E-02 0.40000
2.75423E+03 0.0000 -0.0014 1.048E-27 5.606E-02 0.40000
2.69153E+03 0.0000 -0.0015 1.089E-27 5.823E-02 0.40000
2.63027E+03 0.0000 -0.0016 1.131E-27 6.049E-02 0.40000
2.57040E+03 0.0000 -0.0017 1.175E-27 6.283E-02 0.40000
2.51189E+03 0.0000 -0.0017 1.220E-27 6.526E-02 0.40000
2.45471E+03 0.0000 -0.0018 1.267E-27 6.778E-02 0.40000
2.39883E+03 0.0000 -0.0019 1.316E-27 7.039E-02 0.40000
2.34423E+03 0.0000 -0.0020 1.367E-27 7.310E-02 0.40000
2.29087E+03 0.0000 -0.0021 1.419E-27 7.591E-02 0.40000
2.23872E+03 0.0000 -0.0022 1.474E-27 7.883E-02 0.40000
2.18776E+03 0.0000 -0.0022 1.531E-27 8.187E-02 0.40000
2.13796E+03 0.0000 -0.0023 1.590E-27 8.502E-02 0.40000
2.08930E+03 0.0000 -0.0024 1.651E-27 8.829E-02 0.40000
2.04174E+03 0.0000 -0.0025 1.714E-27 9.169E-02 0.40000
1.99526E+03 0.0000 -0.0025 1.780E-27 9.521E-02 0.40000
1.94984E+03 0.0000 -0.0026 1.848E-27 9.887E-02 0.40000
1.90546E+03 0.0000 -0.0027 1.919E-27 1.027E-01 0.40000
1.86209E+03 0.0000 -0.0028 1.993E-27 1.066E-01 0.40000
1.81970E+03 0.0000 -0.0028 2.069E-27 1.107E-01 0.40000
1.77828E+03 0.0000 -0.0029 2.149E-27 1.149E-01 0.40000
1.73780E+03 0.0000 -0.0030 2.231E-27 1.193E-01 0.40000
1.69824E+03 0.0000 -0.0030 2.317E-27 1.239E-01 0.40000
1.65959E+03 0.0000 -0.0031 2.405E-27 1.287E-01 0.40000
1.62181E+03 0.0000 -0.0032 2.498E-27 1.336E-01 0.40000
1.58489E+03 0.0000 -0.0033 2.593E-27 1.387E-01 0.40000
1.54882E+03 0.0000 -0.0033 2.692E-27 1.440E-01 0.40000
1.51356E+03 0.0000 -0.0034 2.795E-27 1.495E-01 0.40000
1.47911E+03 0.0000 -0.0035 2.902E-27 1.552E-01 0.40000
1.44544E+03 0.0000 -0.0035 3.014E-27 1.612E-01 0.40000
1.41254E+03 0.0000 -0.0036 3.129E-27 1.674E-01 0.40000
1.38038E+03 0.0000 -0.0036 3.249E-27 1.738E-01 0.40000
1.34896E+03 0.0000 -0.0037 3.373E-27 1.804E-01 0.40000
1.31826E+03 0.0000 -0.0038 3.501E-27 1.873E-01 0.40000
1.28825E+03 0.0000 -0.0038 3.635E-27 1.944E-01 0.40000
1.25893E+03 0.0000 -0.0039 3.774E-27 2.018E-01 0.40000
1.23027E+03 0.0000 -0.0040 3.918E-27 2.096E-01 0.40000
1.20226E+03 0.0000 -0.0040 4.068E-27 2.176E-01 0.40000
1.17490E+03 0.0000 -0.0041 4.223E-27 2.259E-01 0.40000
1.14815E+03 0.0000 -0.0041 4.384E-27 2.345E-01 0.40000
1.12202E+03 0.0000 -0.0042 4.551E-27 2.434E-01 0.40000
1.09648E+03 0.0000 -0.0042 4.724E-27 2.527E-01 0.40000
1.07152E+03 0.0000 -0.0043 4.905E-27 2.623E-01 0.40000
1.04713E+03 0.0000 -0.0043 5.092E-27 2.724E-01 0.40000
1.02329E+03 0.0000 -0.0044 5.286E-27 2.828E-01 0.40000
1.00000E+03 0.0000 -0.0044 5.489E-27 2.936E-01 0.40000
9.77237E+02 0.0000 -0.0045 5.699E-27 3.048E-01 0.40000
9.54993E+02 0.0000 -0.0045 5.917E-27 3.165E-01 0.40000
9.33254E+02 0.0000 -0.0046 6.143E-27 3.286E-01 0.40000
9.12011E+02 0.0000 -0.0046 6.379E-27 3.412E-01 0.40000
8.91251E+02 0.0000 -0.0047 6.623E-27 3.542E-01 0.40000
8.70964E+02 0.0000 -0.0047 6.876E-27 3.678E-01 0.40000
8.51138E+02 0.0000 -0.0047 7.138E-27 3.818E-01 0.40000
8.31764E+02 0.0000 -0.0048 7.411E-27 3.964E-01 0.40000
8.12831E+02 0.0000 -0.0048 7.693E-27 4.115E-01 0.40000
7.94328E+02 0.0000 -0.0049 7.987E-27 4.272E-01 0.40000
7.76247E+02 0.0000 -0.0049 8.292E-27 4.435E-01 0.40000
7.58578E+02 0.0000 -0.0049 8.608E-27 4.604E-01 0.40000
7.41310E+02 0.0000 -0.0050 8.938E-27 4.781E-01 0.40000
7.24436E+02 0.0000 -0.0050 9.282E-27 4.965E-01 0.40000
7.07946E+02 0.0000 -0.0050 9.641E-27 5.157E-01 0.40000
6.91831E+02 0.0000 -0.0050 1.002E-26 5.358E-01 0.40000
6.76083E+02 0.0000 -0.0051 1.041E-26 5.568E-01 0.40000
6.60693E+02 0.0000 -0.0051 1.082E-26 5.789E-01 0.40000
6.45654E+02 0.0000 -0.0051 1.125E-26 6.019E-01 0.40000
6.30957E+02 0.0000 -0.0051 1.171E-26 6.261E-01 0.40000
6.16595E+02 0.0000 -0.0051 1.218E-26 6.515E-01 0.40000
6.02560E+02 0.0000 -0.0052 1.268E-26 6.781E-01 0.40000
5.88844E+02 0.0000 -0.0052 1.320E-26 7.059E-01 0.40000
5.75440E+02 0.0000 -0.0052 1.374E-26 7.351E-01 0.40000
5.62341E+02 0.0000 -0.0052 1.432E-26 7.658E-01 0.40000
5.49541E+02 0.0000 -0.0052 1.492E-26 7.980E-01 0.40000
5.37032E+02 0.0000 -0.0052 1.555E-26 8.318E-01 0.40000
5.24807E+02 0.0000 -0.0052 1.622E-26 8.674E-01 0.40000
5.12861E+02 0.0000 -0.0053 1.692E-26 9.048E-01 0.40000
5.01187E+02 0.0000 -0.0053 1.765E-26 9.441E-01 0.40000
4.89779E+02 0.0000 -0.0053 1.842E-26 9.854E-01 0.40000
4.78630E+02 0.0000 -0.0053 1.924E-26 1.029E+00 0.40000
